id,name,picture,created_at,updated_at
1,"北海道",1_hokkaido.jpg,"2020-04-08 06:39:31.370470","2020-04-08 13:49:21.028730"
2,"青森県",2_aomori.jpeg,"2020-04-08 06:39:50.444031","2020-04-08 13:49:43.320036"
3,"岩手県",3_iwate.jpg,"2020-04-08 06:39:58.824784","2020-04-08 13:49:54.965207"
4,"宮城県",4_miyagi.jpg,"2020-04-08 06:40:06.615498","2020-04-08 13:50:07.005658"
5,"秋田県",5_akita.jpg,"2020-04-08 06:40:15.782827","2020-04-08 13:50:17.791215"
6,"山形県",6_yamagata.jpg,"2020-04-08 06:40:24.424791","2020-04-08 13:50:28.020643"
7,"福島県",7_hukushima.jpg,"2020-04-08 06:40:35.578648","2020-04-08 13:50:42.528678"
8,"茨城県",8_ibaraki.png,"2020-04-08 06:40:45.051590","2020-04-08 13:50:57.838648"
9,"栃木県",9_tochigi.jpg,"2020-04-08 06:40:53.730795","2020-04-08 13:51:12.990655"
10,"群馬県",10_gumma.jpg,"2020-04-08 06:41:04.019183","2020-04-08 13:51:26.803943"
11,"埼玉県",11_saitama.jpg,"2020-04-08 06:41:13.884418","2020-04-08 13:51:37.852199"
12,"千葉県",12_chiba.jpeg,"2020-04-08 06:41:21.756317","2020-04-08 13:51:50.090630"
13,"東京都",13_tokyo.jpg,"2020-04-08 06:41:29.399126","2020-04-08 13:52:04.633608"
14,"神奈川県",14_kanagawa.jpg,"2020-04-08 06:41:38.120561","2020-04-08 13:52:14.630211"
15,"新潟県",15_niigata.jpg,"2020-04-08 06:41:46.383839","2020-04-08 13:52:26.177652"
16,"富山県",16_toyama.jpg,"2020-04-08 06:41:54.373052","2020-04-08 13:52:38.264319"
17,"石川県",17_ishikawa.jpg,"2020-04-08 06:42:14.900798","2020-04-08 13:52:52.116806"
18,"福井県",18_hukui.jpg,"2020-04-08 06:42:21.828654","2020-04-08 13:53:05.559444"
19,"山梨県",19_yamanashi.jpeg,"2020-04-08 06:42:30.399940","2020-04-08 13:53:17.158888"
20,"長野県",20_nagano.png,"2020-04-08 06:42:40.674734","2020-04-08 13:53:29.882114"
21,"岐阜県",21_gihu.jpg,"2020-04-08 06:42:51.562114","2020-04-08 13:53:42.193591"
22,"静岡県",22_shizuoka.jpg,"2020-04-08 06:43:00.421420","2020-04-08 13:53:57.005154"
23,"愛知県",23_aichi.jpg,"2020-04-08 06:43:07.119509","2020-04-08 13:54:11.022314"
24,"三重県",24_mie.jpg,"2020-04-08 06:43:18.881395","2020-04-08 13:54:22.387483"
25,"滋賀県",25_shiga.jpg,"2020-04-08 06:43:29.681850","2020-04-08 13:54:34.760457"
26,"京都府",26_kyoto.jpg,"2020-04-08 06:43:39.265303","2020-04-08 13:54:48.196725"
27,"大阪府",27_osaka.jpg,"2020-04-08 06:43:45.871290","2020-04-08 13:55:04.190830"
28,"兵庫県",28_hyougo.jpg,"2020-04-08 06:44:06.505578","2020-04-08 13:55:20.679626"
29,"奈良県",29_nara.jpg,"2020-04-08 06:44:16.745248","2020-04-08 13:55:34.568317"
30,"和歌山県",30_wakayama.jpg,"2020-04-08 06:44:25.216377","2020-04-08 13:55:47.399800"
31,"鳥取県",31_tottori.jpg,"2020-04-08 06:44:35.992707","2020-04-08 13:55:59.796857"
32,"島根県",32_shimane.jpg,"2020-04-08 06:44:44.046324","2020-04-08 13:56:12.479092"
33,"岡山県",33_okayama.jpg,"2020-04-08 06:45:15.058739","2020-04-08 13:56:25.721244"
34,"広島県",34_hiroshima.jpg,"2020-04-08 06:45:22.236053","2020-04-08 13:56:38.422191"
35,"山口県",35_yamaguchi.jpg,"2020-04-08 06:45:29.949043","2020-04-08 13:56:49.746864"
36,"徳島県",36_tokushima.jpg,"2020-04-08 06:45:36.552071","2020-04-08 13:57:03.482558"
37,"香川県",37_kagawa.jpg,"2020-04-08 06:45:43.235380","2020-04-08 13:57:15.217858"
38,"愛媛県",38_ehime.jpg,"2020-04-08 06:45:53.105292","2020-04-08 13:57:28.238983"
39,"高知県",39_kouchi.jpg,"2020-04-08 06:45:59.796928","2020-04-08 13:57:40.741388"
40,"福岡県",40_fukuoka.jpg,"2020-04-08 06:46:07.068405","2020-04-08 13:57:53.772877"
41,"佐賀県",41_saga.jpg,"2020-04-08 06:46:15.562925","2020-04-08 13:58:05.608803"
42,"長崎県",42_nagasaki.jpg,"2020-04-08 06:46:22.746037","2020-04-08 13:58:16.467897"
43,"熊本県",43_kumamoto.jpg,"2020-04-08 06:46:31.200248","2020-04-08 13:58:26.848485"
44,"大分県",44_ooita.jpg,"2020-04-08 06:46:37.959085","2020-04-08 13:58:37.940788"
45,"宮崎県",45_miyazaki.jpg,"2020-04-08 06:46:46.254142","2020-04-08 13:58:49.837952"
46,"鹿児島県",46_kagoshima.jpg,"2020-04-08 06:46:55.755145","2020-04-08 13:58:59.976424"
47,"沖縄県",47_okinawa.jpg,"2020-04-08 06:47:04.086053","2020-04-08 13:59:10.720226"
